,Access Rights,Accrual Periodicity,Alternative Title/Abstract,Contributor,Coverage,Creator,Date Created,Date Issued,Date Modified,Depiction,Description,Format,Has Part,High Value Dataset Category,Identifier,Is Part Of,Is Referenced By,Is Replaced By,Is Version Of,Jurisdiction,Language,License,Note,Publisher,Relation,Rights,Rights Statement,Source,Spatial Coverage,Subject,Temporal Coverage,Title,Type,unmapped_api_request_count,unmapped_catalog_title,unmapped_external_api_reference,unmapped_field_resource_type,unmapped_field_show_export,unmapped_is_api_available,unmapped_is_rated,unmapped_is_visualized,unmapped_odgp_view_count,unmapped_ogdp_download_count
74,,Daily,,National Water Informatics Centre,Daily,National Water Informatics Centre,25/7/2023,25/7/2023,6/12/2023,,,text/csv,,1,data.gov.in/resource/daily-rainfall-data-india-meteorological-department-imd-grid-model-agency-during-july-2023,,,,,Central,,,Average rainfall in millimetre (MM),"Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre | National Water Informatics Centre",1.0,,,,data.gov.in,Water Resources,,Daily Rainfall data from India Meteorological Department (IMD GRID MODEL) Agency during July 2023,Dataset,2.0,Rainfall,7210754.0,1,True,1,0,nan,,826
75,,Five Yearly,,"Ministry of Environment, Forest and Climate Change",nan,"Ministry of Environment, Forest and Climate Change",13/6/2023,15/6/2023,15/6/2023,,,text/csv,,0,data.gov.in/resource/elephant-population-1993-2017,,,,,Central,,,nan,"Ministry of Environment, Forest and Climate Change | Ministry of Environment, Forest and Climate Change",0.0,,,,data.gov.in,Environment and Forest,,Elephant Population from 1993 to 2017,Dataset,2.0,Elephant Reserve and Population Status,nan,1,True,0,0,nan,,811
76,,Daily,,"NSDI India GEO Portal, National Spatial Data Infrastructure (NSDI)",Daily,"NSDI India GEO Portal, National Spatial Data Infrastructure (NSDI)",13/3/2014,13/3/2014,10/12/2021,,,WMS,,0,data.gov.in/resource/web-map-service-362-osm-topo-sheets-survey-india-and-panchromatic-imagery-bhuvan-andhra,,,,,Central,,,nan,"Ministry of Science and Technology;Department of Science and Technology (DST);NSDI India GEO Portal, National Spatial Data Infrastructure (NSDI) | NSDI India GEO Portal, National Spatial Data Infrastructure (NSDI)",nan,,,,data.gov.in,All;Agriculture;Water and Sanitation;Information and Communications;Defence;Environment and Forest;Water Resources;Governance and Administration;Infrastructure;Social Development;Transport;Travel and Tourism | All;Agriculture;Water and Sanitation;Information and Communications;Defence;Environment and Forest;Water Resources;Governance and Administration;Infrastructure;Social Development;Transport;Travel and Tourism,,Web Map Service from  362 OSM Topo Sheets  of  Survey of India and Panchromatic imagery of Bhuvan  in Andhra Pradesh,Dataset,30.0,Web Map Service (WMS) from Survey of India OSM Data and Bhuvan for Andhra Pradesh,6622464.0,2,False,0,1,0.0,,808
77,,Annual,,Ministry of Tourism,Annual,Ministry of Tourism,10/5/2022,26/7/2022,26/7/2022,,,text/csv,,0,data.gov.in/resource/inbound-tourism-foreign-tourist-arrivals-arrivals-non-resident-indians-and-international,,,,,Central,,,"Source - Bureau of Immigration, GOI, NA - Not Available.",Ministry of Tourism | Ministry of Tourism,0.0,,,,data.gov.in,Travel and Tourism,,"Inbound Tourism Foreign Tourist Arrivals, Arrivals of Non-Resident Indians and International Tourist Arrivals 1981-2020",Dataset,nan,India Tourism Statistics,nan,1,True,1,0,1.0,,807
78,,Monthly,,Ministry of Statistics and Programme Implementation,Monthly,Ministry of Statistics and Programme Implementation,17/7/2023,18/9/2023,18/9/2023,,,application/vnd.ms-excel,,1,data.gov.in/resource/state-level-consumer-price-index-ruralurban-upto-may-2023,,,,,Central,,,nan,Ministry of Statistics and Programme Implementation | Ministry of Statistics and Programme Implementation,0.0,,,,data.gov.in,Economy;Prices;Finance;Economy;Statistics,,State Level Consumer Price Index (Rural/Urban) upto May 2023,Dataset,2.0,State Level Consumer Price Index (Rural/Urban),nan,1,True,1,0,nan,,799
79,,Half yearly,,Department of Posts,Half yearly,Department of Posts,9/5/2025,9/5/2025,3/6/2025,,,application/geo+json,,1,data.gov.in/resource/delivery-post-office-pincode-boundary,,,,,Central,,,nan,Ministry of Communications;Department of Posts | Department of Posts,0.0,,,,data.gov.in,All,,Delivery Post office Pincode Boundary,Dataset,nan,All India Pincode Boundary Geo JSON,nan,2,True,0,0,nan,,798
80,,Annual,,Department of Justice,Annual,Department of Justice,24/2/2023,24/2/2023,24/2/2023,,,application/vnd.ms-excel,,0,data.gov.in/resource/district-wise-tele-law-case-registration-and-advice-enabled-data-fy-2021-22-2022-23,,,,,Central,,,Data is upto 31st January 2023 for the FY 2022-23.,Ministry of Law and Justice;Department of Justice | Department of Justice,0.0,,,,data.gov.in,Judiciary,,District-wise Tele-Law Case Registration and Advice Enabled Data from FY 2021-22 to 2022-23,Dataset,7.0,Tele-Law Program under Designing Innovative Solution for Holistic Access to Justice (DISHA),nan,1,True,0,0,nan,,776
81,,Quarterly,,Rajya Sabha,Quarterly,Rajya Sabha,18/1/2024,23/1/2024,23/1/2024,,,text/csv,,0,data.gov.in/resource/stateut-wise-details-rainfall-observed-during-monsoon-season-2020-2022,,,,,Central,,,"Source - RAJYA SABHA SESSION - 260 UNSTARRED QUESTION No 25. ANSWERED ON, 20TH JULY 2023. HRF - Heavy Rainfall. VHRF - Very Heavy Rainfall. EHRF - Extremely Heavy Rainfall. UT - Union Territory.",Rajya Sabha | Rajya Sabha,0.0,,,,data.gov.in,All | Science and Technology,,State/UT-wise Details of the Rainfall Observed During the Monsoon Season from 2020 to 2022,Dataset,9.0,Answers Data of Rajya Sabha Questions for Session 260,0.0,1,True,0,0,nan,,774
82,,Monthly,,Office of the Economic Adviser,Monthly,Office of the Economic Adviser,14/9/2017,21/9/2017,27/6/2025,,,text/csv,,0,data.gov.in/resource/eight-core-industries-base-year-2011-12-till-last-month,,,,,Central,,,"Data of latest month is provisional. Revision has been made based on revised data received for corresponding month of previous year in respect of Coal, Crude Oil, Refinery Products, Fertilizer, Steel, Cement and Electricity. Accordingly, indices for the month of previous year have been revised.; Since October, 2016, Electricity generation data from Renewable sources is also included; NA: Not Applicable/Available",Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade;Office of the Economic Adviser | Office of the Economic Adviser,1.0,,,,data.gov.in,Industries;Manufacturing | Industries;Manufacturing,,Eight Core Industries (Base Year 2011-12) till last month,Dataset,2.0,Eight Core Industries,3630481.0,4,True,1,1,1.0,,770
83,,Quarterly,,Rajya Sabha,Others,Rajya Sabha,25/3/2022,30/3/2022,30/3/2022,,,text/csv,,0,data.gov.in/resource/stateut-wise-number-udid-card-generated-28072021,,,,,Central,,,Source: RAJYA SABHA SESSION - 254 UNSTARRED QUESTION No 1917.,Rajya Sabha | Rajya Sabha,0.0,,,,data.gov.in,All | Social Development,,State/UT-wise Number of UDID Card Generated as on 28.07.2021,Dataset,nan,Answers Data of Rajya Sabha Questions for Session 254,0.0,1,True,1,0,1.0,,766
84,,Annual,,Department of Youth Affairs,Annual,Department of Youth Affairs,30/5/2023,28/6/2023,14/2/2025,,,text/csv,,0,data.gov.in/resource/state-wise-details-youth-hostels-2023,,,,,Central,,,okk added,Ministry of Youth Affairs and Sports;Department of Youth Affairs | Department of Youth Affairs,0.0,,,,data.gov.in,Youth and Sports | Youth and Sports,,State-wise Details of Youth Hostels - 2023,Dataset,3.0,Youth Hostel Scheme,nan,1,True,0,0,nan,,760
85,,Monthly,,Petroleum Planning & Analysis Cell (PPAC),Monthly,Petroleum Planning & Analysis Cell (PPAC),27/4/2023,27/4/2023,27/4/2023,,,text/csv,,0,data.gov.in/resource/import-export-petroleum-products-volumes-year-2022-23,,,,,Central,,,"Source: Oil Companies & DGCIS , All Figures are provisionalNotes:RIL SEZ imports/exports included in country's import/export data^LNG import not included& Others in import include Paraffin wax, Petroleum Jelly, Aviation Gas, MTBE, Reformate etc.@ Nepal sales by IOCL, Nepal and Bhutan sales by BPCL are considered in total exports with average Rupee-US$ exchange rate! RIL SEZ's MS export includes export of Alkylates# ATF exports by RIL does not include ATF sales to foreign going airlines% Others in export include Benzene, Hexane, MTO, Sulphur etc. Import & Export Quantity in '000 Metric Tonnes.",Ministry of Petroleum and Natural Gas;Petroleum Planning & Analysis Cell (PPAC) | Petroleum Planning & Analysis Cell (PPAC),0.0,,,,data.gov.in,Non Renewable,,Import & Export of Petroleum Products - Volumes for Year - 2022-23,Dataset,nan,Import & Export of Petroleum Products,nan,1,True,1,0,1.0,,755
86,,Quarterly,,Ministry of Statistics and Programme Implementation,Quarterly,Ministry of Statistics and Programme Implementation,4/4/2022,5/4/2022,9/6/2022,,,text/csv,,1,data.gov.in/resource/quarterly-estimates-gdp-constant-2011-12-prices-2011-12-2022-23,,,,,Central,,,nan,Ministry of Statistics and Programme Implementation | Ministry of Statistics and Programme Implementation,0.0,,,,data.gov.in,Finance;Economy;Statistics | Macro Economy,,Quarterly Estimates of GDP at Constant (2011-12) Prices from 2011-12 to 2022-23,Dataset,nan,Quarterly Estimates of GDP at Constant Prices,nan,1,True,1,0,nan,,747
87,,Annual,,National Crime Records Bureau (NCRB),Annual,National Crime Records Bureau (NCRB),10/4/2024,12/4/2024,2/6/2025,,,text/csv,,0,data.gov.in/resource/stateut-wise-number-indian-penal-code-ipc-crimes-2020-2022,,,,,Central,,,"Crime Rate is calculated as Crime per one lakh of population. Population Source - Report of Technical group on Population Projections(July, 2020) National Commission on Population, MoHFW. As per data provided by States/Uts. Clarifications are pending from Nagaland. States/UTs may not be compared purely on the basis of crime figures.",Ministry of Home Affairs;Department of States;National Crime Records Bureau (NCRB) | National Crime Records Bureau (NCRB),0.0,,,,data.gov.in,Police | Army,,State/UT-wise Number of Indian Penal Code (IPC) Crimes from 2020 to 2022,Dataset,nan,Crime in India - 2022,0.0,1,True,1,0,nan,,732
88,,Daily,,"Ministry of Micro, Small and Medium Enterprises",Daily,"Ministry of Micro, Small and Medium Enterprises",19/11/2019,21/11/2019,2/1/2020,,,application/json,,1,data.gov.in/resource/list-msme-registered-units-under-udyog-aadhaar-memorandum-andhra-pradesh,,,,,Central,,,"Dataset can be downloaded in csv format by using the provided URL and passing appropriate parameter options such as:- api-Key: Generate your personal API key (sample key returns maximum of 10 records at a time) and use that key to consume more than 10 records at a time (Example: api-key=Your API Key); format: Fill format as 'csv' to download the dataset in csv format (Example: format=csv); offset: User can download the dataset from 1st record onwards by setting offset (Example: offset=0), If user wants to download more records than the limit set then they can use the previously set limit as the new offset; limit: User can download maximum of 10000 records in one go (Example: limit=10000).","Ministry of Micro, Small and Medium Enterprises | Ministry of Micro, Small and Medium Enterprises",1.0,,,,data.gov.in,Medium;Micro;Small Scale | Medium;Micro;Small Scale,,List of MSME Registered Units under Udyog Aadhaar Memorandum - Andhra Pradesh,Dataset,19.0,List of MSME Registered Units  under Udyog Aadhaar Memorandum till last date,6714764.0,2,False,0,1,0.0,,727
89,,Annual,,"India Meteorological Department (IMD), Pune",Annual,"India Meteorological Department (IMD), Pune",1/8/2022,16/1/2023,16/1/2023,,,text/csv,,1,data.gov.in/resource/rainfall-ne-india-and-its-departure-normal-monsoon-session-1901-2021,,,,,Central,,,nan,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune | India Meteorological Department (IMD), Pune",0.0,,,,data.gov.in,Science and Technology;Earth Sciences | Earth Sciences,,Rainfall in NE India and its departure from normal for Monsoon session from 1901-2021,Dataset,3.0,Departure of Rainfall data,nan,1,True,0,0,nan,,710
90,,One-time,,Geological Survey of India,One-time,Geological Survey of India,9/5/2022,12/5/2022,12/5/2022,,,WMS,,1,data.gov.in/resource/digital-seismotectonic-atlas-india-and-its-environs-0,,,,,Central,,,nan,Ministry of Mines;Geological Survey of India | Geological Survey of India,1.0,,,,data.gov.in,Governance and Administration;Union/State Government Administration;Union/State Government Administration;Mining;Mining;Coastal & Island;Earth Sciences;Marine Science;Polar Science;Research & Development | Earth Sciences,,Digital Seismotectonic Atlas of India and its Environs,Dataset,5.0,BHUKOSH,7073635.0,2,True,0,0,nan,,702
91,,Biannual,,Ministry of Jal Shakti,Biannual,Ministry of Jal Shakti,30/5/2023,31/5/2023,31/5/2023,,,text/csv,,0,data.gov.in/resource/disclosed-ground-water-level-data-under-atal-bhujal-yojana-2015-2022,,,,,Central,,,nan,"Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti | Ministry of Jal Shakti",0.0,,,,data.gov.in,Ground Water,,Disclosed Ground Water Level Data under Atal Bhujal Yojana from 2015 to 2022,Dataset,5.0,Ground Water Level Data under Atal Bhujal Yojana,nan,1,True,0,0,nan,,680
92,,One-time,,Geological Survey of India,One-time,Geological Survey of India,8/8/2013,8/8/2013,12/8/2021,,,WMS,,0,data.gov.in/resource/digital-seismotectonic-atlas-india-and-its-environs,,,,,Central,,,Seismotectonic Atlas of India and its Environs on scale 1:1 million published in 2000,Ministry of Mines;Geological Survey of India | Geological Survey of India,0.0,,,,data.gov.in,Mining;Others | Mining;Others,,Digital Seismotectonic Atlas of India and its Environs,Dataset,59.0,Digital Seismotectonic Atlas of India and its Environs,nan,2,False,0,1,0.0,,676
93,,Annual,,Ministry of Road Transport and Highways,Annual,Ministry of Road Transport and Highways,28/4/2014,8/5/2014,1/9/2016,,,text/csv,,0,data.gov.in/resource/number-newly-registered-motor-vehicles-2009-10-and-2010-11-and-number-registered-motor-25,,,,,Central,,,All figures are in numbers; Source: Offices of State Transport Commissioners/UT Administrations; NA-Not Reported; The data has been sourced from Road Transport Year Book-2009-10 & 2010-11.,Ministry of Road Transport and Highways | Ministry of Road Transport and Highways,nan,,,,data.gov.in,Transport;Road Transport | Transport;Road Transport,,Number of Newly Registered Motor Vehicles in 2009-10 and 2010-11 and Number of Registered Motor Vehicles as on 31st March 2010 and as on 31st March 2011 in Uttar Pradesh,Dataset,nan,Number of Newly Registered Motor Vehicles and Number of Registered Motor Vehicles in Uttar Pradesh,nan,1,True,1,1,1.0,,675
94,,Quarterly,,Ministry of Statistics and Programme Implementation,Quarterly,Ministry of Statistics and Programme Implementation,4/4/2022,5/4/2022,2/6/2025,,,text/csv,,1,data.gov.in/resource/quarterly-estimates-gdp-current-prices-2011-12-series-2011-12-2022-23,,,,,Central,,,nan,Ministry of Statistics and Programme Implementation | Ministry of Statistics and Programme Implementation,0.0,,,,data.gov.in,Economy;Macro Economy;Finance;Economy | Macro Economy,,"Quarterly Estimates of GDP at Current Prices, 2011-12 Series From 2011-12 to 2022-23",Dataset,1.0,Quarterly Estimates of GDP at Current Prices,nan,1,True,1,1,nan,,670
95,,One-time,,National Water Informatics Centre,One-time,National Water Informatics Centre,16/9/2022,28/9/2022,28/9/2022,,,application/zip,,1,data.gov.in/resource/boundaries-agro-climatic-regions,,,,,Central,,,"This zip contains the various formats i.e .shp, .shx,.dbf,.prj,.sbn, .cpg,.dbf, This zip contains all the information of all agro-climatic regions of entire country","Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre | National Water Informatics Centre",0.0,,,,data.gov.in,Ground Water;Surface Water | Ground Water;Surface Water,,Boundaries of Agro-climatic regions,Dataset,nan,Boundaries of Region,nan,2,True,0,0,nan,,663
96,,Annual,,Department of Health and Family Welfare,Annual,Department of Health and Family Welfare,10/2/2017,28/3/2017,10/12/2021,,,text/csv,,0,data.gov.in/resource/state-wise-population-decadal-population-growth-rate-and-population-density-2011-0,,,,,Central,,,"For Manipur: Updated population of Manipur as per the order (9/25/2013-CD(Cen.) dtd 07-01-2014) of RGI; For Andhra Pradesh and Telangana: Data collected from the states; Source: Population Census of india, 2011; office of Registrar General & Census Commissioner, India",Ministry of Health and Family Welfare;Department of Health and Family Welfare | Department of Health and Family Welfare,nan,,,,data.gov.in,Health and Family welfare;Family Welfare;Health | Health and Family welfare;Family Welfare;Health,,"State-wise Population, Decadal Population Growth rate and Population Density - 2011",Dataset,nan,Rural Health Statistics - 2016,nan,1,True,1,1,1.0,,658
97,,Quarterly,,Rajya Sabha,Quarterly,Rajya Sabha,17/5/2023,19/5/2023,19/5/2023,,,text/csv,,0,data.gov.in/resource/state-wise-details-infant-mortality-rate-institutional-delivery-and-prevalence-under,,,,,Central,,,"Source - Rajya Sabha Session - 258 Unstarred Question No. 142 Answered on 07 December, 2022. NA - Not Available. Source - National Family Health Survey-5 (2019-21). Data of West Bengal for Infant Mortality Rate - ST is based on 250-499 unweighted person-years of exposure to the risk of death.",Rajya Sabha | Rajya Sabha,0.0,,,,data.gov.in,All | Social Development,,"State-wise Details of the Infant Mortality Rate, Institutional Delivery and Prevalence of Under Weight Children under five years of Age (in Reply to Unstarred Question on 07 December, 2022)",Dataset,nan,Answers Data of Rajya Sabha Questions for Session 258,0.0,1,True,1,0,nan,,657
98,,Quarterly,,Ministry of Labour and Employment,Quarterly,Ministry of Labour and Employment,20/3/2023,25/3/2023,18/2/2025,,,text/csv,,0,data.gov.in/resource/sector-wise-estimated-number-workers-under-fourth-round-quarterly-employment-survey-jan,,,,,Central,,,nan,Ministry of Labour and Employment | Ministry of Labour and Employment,0.0,,,,data.gov.in,Employment,,Sector wise Estimated Number of Workers under Fourth Round of Quarterly Employment Survey from Jan to March 2022,Dataset,3.0,Quarterly Employment Survey (QES),nan,1,True,1,0,nan,,644
99,,One-time,,National Water Informatics Centre,One-time,National Water Informatics Centre,16/9/2022,28/9/2022,28/9/2022,,,application/zip,,1,data.gov.in/resource/shape-file-reservoir,,,,,Central,,,"This zip contains the various formats i.e .shp, .shx,.dbf,.prj,.sbn, .cpg,.dbf. This zip contains the information of all major and minor reservoir of entire country. This is a point layer","Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre | National Water Informatics Centre",0.0,,,,data.gov.in,Ground Water;Surface Water | Ground Water;Surface Water,,Shape file of reservoir,Dataset,nan,Boundaries of Water Resources Projects,nan,2,True,0,0,nan,,640
